X,Y
279,529
279,532
279,533
280,529
280,530
280,533
280,534
281,530
281,531
281,534
281,535
282,527
282,531
282,532
282,535
283,528
283,532
283,535
283,536
284,529
284,533
284,536
284,537
285,530
285,534
285,537
285,538
286,531
286,535
286,538
286,539
287,532
287,536
287,539
287,540
288,533
288,536
288,537
288,540
288,541
289,534
289,537
289,538
289,541
289,542
290,535
290,538
290,539
290,542
291,536
291,539
291,542
291,543
292,540
292,543
292,544
293,541
293,544
293,545
294,542
294,545
294,546
295,542
295,543
295,546
295,547
296,543
296,544
296,547
296,548
297,544
297,545
297,548
298,545
298,548
298,549
299,546
299,549
299,550
300,547
300,550
300,551
301,548
301,551
301,552
302,548
302,549
302,552
302,553
303,549
303,550
303,553
304,550
304,553
304,554
305,551
305,554
305,555
306,552
306,555
306,556
307,553
307,556
307,557
308,550
308,553
308,554
308,557
308,558
309,551
309,554
309,558
310,552
310,555
310,558
310,559
311,553
311,556
311,559
311,560
312,554
312,557
312,560
312,561
313,555
313,558
313,561
313,562
314,556
314,559
314,562
314,563
315,556
315,560
315,563
316,557
316,560
316,563
316,564
317,561
317,564
317,565
318,562
318,565
318,566
319,563
319,566
319,567
320,564
320,567
320,568
321,565
321,568
321,569
322,566
322,569
322,570
323,566
323,567
323,570
324,567
324,568
324,570
324,571
325,568
325,571
325,572
326,569
326,572
326,573
327,570
327,573
327,574
328,571
328,574
328,575
329,571
329,572
329,575
330,570
330,572
330,575
330,576
331,571
331,573
331,576
331,577
332,572
332,574
332,577
332,578
333,572
333,575
333,578
333,579
334,576
334,579
334,580
335,577
335,580
335,581
336,577
336,578
336,581
336,582
337,578
337,579
337,582
338,576
338,579
338,580
338,582
338,583
339,577
339,580
339,583
339,584
340,578
340,581
340,584
340,585
341,579
341,582
341,585
341,586
342,580
342,583
342,586
342,587
343,583
343,584
343,587
343,588
344,581
344,584
344,585
344,588
344,589
345,582
345,585
345,586
345,589
346,583
346,586
346,589
346,590
347,584
347,587
347,590
347,591
348,585
348,588
348,591
348,592
349,586
349,589
349,592
349,593
350,589
350,593
350,594
351,590
351,594
351,595
352,591
352,595
353,592
353,595
353,596
354,593
354,596
354,597
355,594
355,597
355,598
356,595
356,598
356,599
357,596
357,599
357,600
358,596
358,600
359,597
359,600
359,601
360,595
360,598
360,601
360,602
361,596
361,599
361,602
361,603
362,597
362,600
362,603
362,604
363,598
363,601
363,604
363,605
364,602
364,605
364,606
365,602
365,603
365,606
366,600
366,603
366,606
366,607
367,601
367,604
367,607
367,608
368,602
368,605
368,608
368,609
369,603
369,606
369,609
369,610
370,604
370,607
370,610
370,611
371,604
371,608
371,611
371,612
372,605
372,608
372,612
373,606
373,609
373,612
373,613
374,607
374,610
374,613
374,614
375,608
375,611
375,614
375,615
376,609
376,612
376,615
376,616
377,610
377,613
377,616
377,617
378,611
378,614
378,617
379,612
379,617
379,618
380,611
380,613
380,615
380,618
380,619
381,611
381,616
381,619
381,620
382,614
382,617
382,620
382,621
383,613
383,615
383,618
383,621
383,622
384,616
384,619
384,622
384,623
385,617
385,620
385,623
385,624
386,618
386,620
386,624
387,618
387,621
387,624
387,625
388,619
388,622
388,625
388,626
389,620
389,623
389,626
389,627
390,621
390,627
390,628
391,624
391,628
391,629
392,625
392,629
392,630
393,623
393,626
393,630
394,624
394,627
394,630
394,631
395,625
395,628
395,631
395,632
396,626
396,629
396,632
396,633
397,627
397,630
397,633
397,634
398,628
398,631
398,634
398,635
399,628
399,629
399,631
399,632
399,635
400,629
400,632
400,635
400,636
401,630
401,633
401,636
401,637
402,631
402,634
402,637
402,638
403,632
403,635
403,638
403,639
404,633
404,635
404,636
405,636
405,637
406,637
406,638
406,639
407,639
